dataset,feature,missing_count
electricity,T2M_toc,0
electricity,QV2M_toc,0
electricity,TQL_toc,0
electricity,W2M_toc,0
electricity,T2M_san,0
electricity,QV2M_san,0
electricity,TQL_san,0
electricity,W2M_san,0
electricity,T2M_dav,0
electricity,QV2M_dav,0
electricity,TQL_dav,0
electricity,W2M_dav,0
electricity,holiday,0
electricity,Hour,0
electricity,Month,0
wind,temperature_2m,0
wind,relativehumidity_2m,0
wind,dewpoint_2m,0
wind,windspeed_10m,0
wind,windspeed_100m,0
wind,winddirection_10m,0
wind,winddirection_100m,0
wind,windgusts_10m,0
wind,Hour,0
wind,Month,0
